,task_id,T,x(Cr),x(Cr@B2),x(Cr@Bcc),x(Cr@CBCC_A12),x(Cr@Hcp),x(Cr@Laves_C14),x(Cr@Laves_C15),x(Cr@Laves_C36),x(Cr@Liquid),x(Cr@Sigma),x(Mn),x(Mn@Bcc),x(Mn@Beta_TiMn),x(Mn@CBCC_A12),x(Mn@Laves_C14),x(Mn@Laves_C15),x(Mn@Laves_C36),x(Mn@Liquid),x(Mn@Mn3Ti),x(Mn@Mn4Ti),x(Mn@Sigma),x(Nb),x(Nb@B2),x(Nb@Bcc#1),x(Nb@Bcc#2),x(Nb@Bcc),x(Nb@Laves_C14),x(Nb@Laves_C15),x(Nb@Laves_C36),x(Nb@Liquid),x(Ti),x(Ti@Bcc#1),x(Ti@Bcc#2),x(Ti@Bcc),x(Ti@Beta_TiMn),x(Ti@CBCC_A12),x(Ti@Laves_C14),x(Ti@Laves_C15),x(Ti@Laves_C36),x(Ti@Liquid),x(Ti@Mn3Ti),x(Ti@Mn4Ti),x(V),x(V@Bcc#1),x(V@Bcc#2),x(V@Bcc),x(V@Hcp),x(V@Laves_C14),x(V@Laves_C15),x(V@Laves_C36),x(V@Liquid),x(Zr),x(Zr@Bcc#1),x(Zr@Bcc#2),x(Zr@Bcc),x(Zr@Hcp),x(Zr@Laves_C14),x(Zr@Laves_C15),x(Zr@Laves_C36),x(Zr@Liquid),w(Cr),w(Cr@B2),w(Cr@Bcc),w(Cr@CBCC_A12),w(Cr@Hcp),w(Cr@Laves_C14),w(Cr@Laves_C15),w(Cr@Laves_C36),w(Cr@Liquid),w(Cr@Sigma),w(Mn),w(Mn@Bcc),w(Mn@Beta_TiMn),w(Mn@CBCC_A12),w(Mn@Laves_C14),w(Mn@Laves_C15),w(Mn@Laves_C36),w(Mn@Liquid),w(Mn@Mn3Ti),w(Mn@Mn4Ti),w(Mn@Sigma),w(Nb),w(Nb@B2),w(Nb@Bcc#1),w(Nb@Bcc#2),w(Nb@Bcc),w(Nb@Laves_C14),w(Nb@Laves_C15),w(Nb@Laves_C36),w(Nb@Liquid),w(Ti),w(Ti@Bcc#1),w(Ti@Bcc#2),w(Ti@Bcc),w(Ti@Beta_TiMn),w(Ti@CBCC_A12),w(Ti@Laves_C14),w(Ti@Laves_C15),w(Ti@Laves_C36),w(Ti@Liquid),w(Ti@Mn3Ti),w(Ti@Mn4Ti),w(V),w(V@Bcc#1),w(V@Bcc#2),w(V@Bcc),w(V@Hcp),w(V@Laves_C14),w(V@Laves_C15),w(V@Laves_C36),w(V@Liquid),w(Zr),w(Zr@Bcc#1),w(Zr@Bcc#2),w(Zr@Bcc),w(Zr@Hcp),w(Zr@Laves_C14),w(Zr@Laves_C15),w(Zr@Laves_C36),w(Zr@Liquid),P,log10(P),phase_name,G,H,S,G(@Bcc),H(@Bcc),S(@Bcc),G(@Laves_C15),H(@Laves_C15),S(@Laves_C15),G(@Laves_C36),H(@Laves_C36),S(@Laves_C36),G(@Laves_C14),H(@Laves_C14),S(@Laves_C14),G(@Liquid),H(@Liquid),S(@Liquid),G(@Bcc#1),G(@Bcc#2),H(@Bcc#1),H(@Bcc#2),S(@Bcc#1),S(@Bcc#2),G(@Hcp),H(@Hcp),S(@Hcp),G(@Beta_TiMn),H(@Beta_TiMn),S(@Beta_TiMn),G(@B2),H(@B2),S(@B2),G(@CBCC_A12),H(@CBCC_A12),S(@CBCC_A12),G(@Sigma),H(@Sigma),S(@Sigma),G(@Mn3Ti),G(@Mn4Ti),H(@Mn3Ti),H(@Mn4Ti),S(@Mn3Ti),S(@Mn4Ti),f(@B2),f(@Bcc#1),f(@Bcc#2),f(@Bcc),f(@Beta_TiMn),f(@CBCC_A12),f(@Hcp),f(@Laves_C14),f(@Laves_C15),f(@Laves_C36),f(@Liquid),f(@Mn3Ti),f(@Mn4Ti),f(@Sigma)
0,-1,C,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1200.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc,-66.55888687,36.30579426,0.06982634567,-66558.88687,36305.79426,69.82634567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
2,1,1200.0,90.0,,99.8175,,,,66.71465706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,0.182527,,,33.28534294,,,83.6863,,99.6802,,,,53.32399755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3137,,,0.319792,,,46.67600245,,,1.0,5.0,Bcc+Laves_C15,-73428.2329,27848.26716,68.74826057,-66706.05047,36361.70462,69.96419583,-89372.09495,7655.855909,65.86427102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703425,,,,,0.2965750129,,,,,
3,10,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,1.0,5.0,Bcc,-92.77166921,39.1083342,0.08952245421,-92771.66921,39108.3342,89.52245421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
4,100,1200.0,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,40.0,,,40.0,,,,,,,,,,,,,,,50.8143,,50.8143,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35836,,,9.35836,,,,,,,,,39.8274,,,39.8274,,,,,,,,,,,,,,,1.0,5.0,Bcc,-85761.10982,34466.79337,81.61280466,-85761.10982,34466.79337,81.61280466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
5,1000,1200.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc,-84.36067951,32.40042618,0.07925948185,-84360.67951,32400.42618,79.25948185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
6,1001,1200.0,90.0,,90.0,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4936,,89.4936,,,,,,,,10.5064,10.5064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc,-71993.87474,34967.93359,72.60754732,-71993.87474,34967.93359,72.60754732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
7,1002,1200.0,80.0,,91.3457,,,,,52.82392288,,,10.0,8.3886,,,,,13.85973224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,0.265657,,,,33.31634487,,73.9985,,90.7332,,,,,41.95055911,,,9.77318,8.80381,,,,,11.62960203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2283,,,0.462954,,,,46.41983885,,1.0,5.0,Bcc+Laves_C36,-78815.18445,28119.6947,72.58926732,-71519.25148,35191.50207,72.43712694,,,,-96290.88842,11180.83126,72.95368407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705472,,,,,,0.2945276885,,,,
8,1003,1200.0,70.0,,92.78484978,,,,,54.6465,,,10.0,6.954731146,,,,,12.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,0.260419078,,,,33.3014,,60.525,,92.24064948,,,,,43.4372,,,9.13566,7.305139927,,,,,10.1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3393,,,0.4542105908,,,,46.4409,,1.0,5.0,Laves_C36+Bcc,-85562.83587,21074.2072,72.38709097,-70868.51537,35349.09875,72.10237527,,,,-95464.52738,11455.1457,72.57894517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4025730474,,,,,,0.597427,,,,
9,1004,1200.0,60.0,,96.41946221,,,55.8272,,,,,10.0,2.878499221,,,10.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,0.702038565,,33.3569,,,,48.7017,,95.75633333,,,44.3855,,,,,8.57621,3.02045124,,,9.08582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7221,,,1.223215425,,46.5287,,,,1.0,5.0,Laves_C14+Bcc,-88919.74453,29381.8065,80.3051631,-69036.54359,36030.26906,71.32119108,,,,,,,-91197.90862,28620.04341,81.33452264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1027989066,,,,0.897201,,,,,,
